Date,Price,Open,High,Low,Vol.,Change %
10/27/2022,53.7,53.91,54,53.7,140.83M,0.66%
10/26/2022,53.35,52.95,53.5,52.77,28.07M,1.08%
10/25/2022,52.78,52.4,53.18,52.2,34.74M,2.45%
10/24/2022,51.52,50.71,51.86,50.52,22.55M,3.27%
10/21/2022,49.89,50.06,50.72,49.6,51.21M,-4.86%
10/20/2022,52.44,52.2,52.7,51.6,25.46M,1.18%
10/19/2022,51.83,51.8,52.16,51.26,10.06M,0.10%
10/18/2022,51.78,51.1,52.1,50.85,18.45M,2.05%
10/17/2022,50.74,50.5,50.9,50.2,14.10M,0.57%
10/14/2022,50.45,50.49,50.87,50.3,10.08M,0.22%
10/13/2022,50.34,49.8,51.07,49.52,18.18M,0.80%
10/12/2022,49.94,50.01,50.5,49.81,11.83M,-0.26%
10/11/2022,50.07,50.03,50.55,49.81,11.52M,-0.58%
10/10/2022,50.36,49.66,50.86,49.5,22.20M,2.40%
10/07/2022,49.18,49.03,49.49,48.16,32.63M,-0.43%
10/06/2022,49.39,50.98,51.55,49.29,65.25M,-3.72%
10/05/2022,51.3,50.26,52,50.2,74.56M,-1.35%
10/04/2022,52,42.81,52.3,42.55,47.37M,22.24%
10/03/2022,42.54,43.9,43.9,42.23,13.14M,-2.97%
09/30/2022,43.84,42.82,44.62,42.81,25.89M,2.57%
09/29/2022,42.74,43,43.17,42.39,8.72M,-1.18%
09/28/2022,43.25,42.59,43.53,42.38,12.83M,2.76%
09/27/2022,42.09,41.74,42.18,41.28,7.91M,1.37%
09/26/2022,41.52,41.5,43.52,40.66,23.92M,-0.14%
09/23/2022,41.58,41.48,41.77,40.85,9.14M,0.43%
09/22/2022,41.4,41.39,41.77,41.25,5.87M,0.32%
09/21/2022,41.27,41.79,42.19,41.27,7.00M,-0.98%
09/20/2022,41.68,41.44,42.11,40.93,7.22M,0.05%
09/19/2022,41.66,41.4,41.74,41.21,6.88M,0.51%
09/16/2022,41.45,41.83,41.95,41.25,26.47M,-1.64%
09/15/2022,42.14,41.75,42.44,41.5,9.19M,0.57%
09/14/2022,41.9,41.75,41.91,41.25,8.07M,0.38%
09/13/2022,41.74,40.76,42.47,40.47,14.17M,0.80%
09/12/2022,41.41,41.81,41.9,41.25,7.43M,-1.85%
09/09/2022,42.19,41.87,42.27,41.51,7.42M,0.81%
09/08/2022,41.85,41,42.17,40.98,11.73M,1.58%
09/07/2022,41.2,39.3,41.25,39.3,16.91M,6.60%
09/06/2022,38.65,38.62,39.09,38.06,10.95M,0.05%
09/02/2022,38.63,38.86,39.01,38.29,7.93M,0.03%
09/01/2022,38.62,38.64,38.92,38.44,8.61M,-0.34%
08/31/2022,38.75,39.98,40.05,38.6,16.79M,-1.45%
08/30/2022,39.32,39.87,40.09,39.07,9.58M,-1.80%
08/29/2022,40.04,40.22,40.6,39.99,6.66M,-1.04%
08/26/2022,40.46,41.15,41.2,40.23,10.14M,-1.44%
08/25/2022,41.05,40.5,41.49,40.17,10.31M,0.64%
08/24/2022,40.79,39.28,40.99,38.77,17.00M,2.33%
08/23/2022,39.86,41.36,41.94,39.85,26.04M,-7.32%
08/22/2022,43.01,43.5,43.66,42.81,7.87M,-2.23%
